OTU.rep	Domain	Phylum	Class	Order	Family	Genus
HQ163158.1.1317	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
JQ224996.1.1347	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
EU801696.1.1459	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
FJ744916.1.1319	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802541.1.1287	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU803052.1.1425	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
GQ377772.1.1269	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
L10934.1.1298	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
AY664135.1.1215	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
JN832930.1.1413	Bacteria	Proteobacteria	ARKICE-90	NA	NA	NA
EF573597.1.1440	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
AB193965.1.1440	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
HQ163743.1.1324	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802874.1.1450	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
GQ337263.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
EF574990.1.1439	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AY664211.1.1287	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
EF571982.1.1487	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
EU805091.1.1526	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
EU800927.1.1359	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
GU119298.1.1407	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
EU800517.1.1373	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
HQ671891.1.1439	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
EF571973.1.1459	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802798.1.1422	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter
EU803067.1.1257	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU234735.1.1317	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GQ346891.1.1321	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802543.1.1499	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
AACY020555729.127.1634	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS4 marine group
AY726930.1.1212	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EF573001.1.1489	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter
EU802539.1.1352	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802529.1.1481	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
EU237319.1.1311	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
JX945354.1.1385	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU802893.1.1441	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU805254.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU235302.1.1328	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	NA
EU802636.1.1362	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
JN547438.1.1447	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
GU235638.1.1322	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU940748.1.1341	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU800201.1.1303	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Chesapeake-Delaware Bay	NA
EU237468.1.1312	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
EU686640.25381.26914	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
AY664073.1.1228	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802984.1.1440	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU686618.3359.4826	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
EU803186.1.1437	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
GU940773.1.1334	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	NA
AY664012.1.1253	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
AACY020207233.1273.2814	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
AY033322.1.1446	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
AY907820.1.1458	Bacteria	Chloroflexi	SAR202 clade	NA	NA	NA
HQ242620.1.1275	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU145455.1.1523	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
AACY023938218.20.1535	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
DQ009277.1.1996	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	NA
HQ674365.1.1523	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
DQ009159.1.1986	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
EU803056.1.1370	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
DQ156479.1.1258	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group III	NA
EU802498.1.1435	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU801193.1.1360	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
U65908.1.1509	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	NA	NA
AB461943.1.1310	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
JN563820.1.1535	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
FJ744817.1.1308	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
EU800402.1.1485	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
EU802844.1.1359	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	NA
EF572384.1.1486	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
FJ744908.1.1331	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802480.1.1262	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EF571926.1.1454	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	NA
AY726843.1.1232	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
JX017005.1.1403	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	NA
EF574119.1.1500	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
EU800666.1.1372	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
JN547476.1.1428	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802532.1.1252	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AY663941.1.1275	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
EU802391.1.1436	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AACY020068177.376.1853	Bacteria	Chloroflexi	SAR202 clade	NA	NA	NA
EF574484.1.1444	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
EU802942.1.1496	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
GU940897.1.1343	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU804864.1.1440	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
GU235451.1.1318	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU234848.1.1327	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802460.1.1406	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	NA
AB193918.1.1524	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
EU802960.1.1455	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	NA	NA
EF572587.1.1496	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
AF382127.1.1491	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanobacter
DQ156348.18592.20063	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
AM747314.1.1270	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	NA
EU802700.1.1447	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AY664015.1.1220	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
FJ745032.1.1322	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	NA
EU686616.36653.38121	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
EU802971.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
EF572892.1.1439	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EF574241.1.1490	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
EU802980.1.1373	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802905.1.1437	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
GU940747.1.1343	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802833.1.1487	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
EU802865.1.1431	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AACY020555882.2572.4023	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
FN433412.1.1496	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS4 marine group
EU802840.1.1440	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802434.1.1365	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU803160.1.1450	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
AJXC01000443.5756.7214	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
GU061415.1.1485	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
AY726917.1.1225	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
JQ220558.1.915	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
EU799628.1.1361	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EF574264.1.1492	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanobacter
HQ672720.1.1447	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AY664083.1.1206	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EF574440.1.1446	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
GQ349786.1.1320	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
HQ674246.1.1475	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	NA	NA
DQ009161.1.1974	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 3	NA
AY664105.1.1226	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
HQ671756.1.1446	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
EU802684.1.1366	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
GU061948.1.1441	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EF572922.1.1449	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU235821.1.1320	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802983.1.1388	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
FJ745198.1.1365	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
AACY020075636.150.1670	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	NA
EU686643.5839.7313	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
FJ150819.1.1297	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
HQ672889.1.1533	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
EU802437.1.1387	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
EU802603.1.1489	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	NA	NA
JQ062856.1.1462	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	NA	NA
GQ346815.1.1325	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AACY020431964.3244.4753	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS5 marine group
EU800186.1.1306	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter
AACY020398456.2130.3630	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
HQ242373.1.1521	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
AB194003.1.1440	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
HQ671819.1.1446	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
HQ673137.1.1450	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	NA
AY907781.1.1504	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
AACY020555764.489.1966	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	NA	NA
EU802894.1.1450	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	NA
EU803007.1.1326	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
FJ745251.1.1308	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	NA
EU802794.1.1441	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU268068.1.1427	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EF572586.1.1452	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	NA	NA
EF574663.1.1445	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	NA
FJ150824.1.1353	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
AACY020255495.903.2404	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
FN433348.1.1495	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS5 marine group
AY664000.1.1252	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
KC002117.1.1316	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
EU802915.1.1434	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802822.1.1385	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
EU802368.1.1440	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AACY020545456.443.1983	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
EU805212.1.1439	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802272.1.1376	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EF572648.1.1451	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	NA
HQ672443.1.1436	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
FJ150822.1.1353	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
EU802803.1.1440	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU803115.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802534.1.1442	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
EU802279.1.1371	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802656.1.1455	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU802299.1.1228	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
AACY020563509.792.2305	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
EU802718.1.1501	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter
EU802400.1.1495	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
GU451676.1.1235	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
